MCM Name,Smiles String,InChl Identifier,formula,idx_species
IPROPOLO2, [O]OCC(C)O ," InChI=1S/C3H7O3/c1-3(4)2-6-5/h3-4H,2H2,1H3 ",C3H7O3,33
NBUTOL, CCCCO ," InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3 ",C4H10O,34
C3H7CHO, CCCC=O ," InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3 ",C4H8O,35
NBUTOLAO2, CCC(CO)O[O] ," InChI=1S/C4H9O3/c1-2-4(3-5)7-6/h4-5H,2-3H2,1H3 ",C4H9O3,36
NBUTOLBO2, OCCC(C)O[O] ," InChI=1S/C4H9O3/c1-4(7-6)2-3-5/h4-5H,2-3H2,1H3 ",C4H9O3,37
BUT2OL, CCC(C)O ," InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3 ",C4H10O,38
BUT2OLO2, [O]OC(C)C(C)O ," InChI=1S/C4H9O3/c1-3(5)4(2)7-6/h3-5H,1-2H3 ",C4H9O3,39
MEK, CCC(=O)C ," InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3 ",C4H8O,40
IBUTOL, OCC(C)C ," InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3 ",C4H10O,41
IBUTOLBO2, OCC(C)(C)O[O] ," InChI=1S/C4H9O3/c1-4(2,3-5)7-6/h5H,3H2,1-2H3 ",C4H9O3,42
IBUTOLCO2, [O]OCC(C)CO ," InChI=1S/C4H9O3/c1-4(2-5)3-7-6/h4-5H,2-3H2,1H3 ",C4H9O3,43
IPRCHO, O=CC(C)C ," InChI=1S/C4H8O/c1-4(2)3-5/h3-4H,1-2H3 ",C4H8O,44
TBUTOL, CC(C)(C)O ," InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3 ",C4H10O,45
TBUTOLO2, [O]OCC(C)(C)O ," InChI=1S/C4H9O3/c1-4(2,5)3-7-6/h5H,3H2,1-2H3 ",C4H9O3,46
TC4H9O, CC(C)(C)[O] ," InChI=1S/C4H9O/c1-4(2,3)5/h1-3H3 ",C4H9O,47
PECOH, CCC(O)CC ," InChI=1S/C5H12O/c1-3-5(6)4-2/h5-6H,3-4H2,1-2H3 ",C5H12O,48
DIEK, CCC(=O)CC ," InChI=1S/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3 ",C5H10O,49
HO3C5O2, CCC(O)CCO[O] ," InChI=1S/C5H11O3/c1-2-5(6)3-4-8-7/h5-6H,2-4H2,1H3 ",C5H11O3,50
PE2ENEBO2, CCC(O)C(C)O[O] ," InChI=1S/C5H11O3/c1-3-5(6)4(2)8-7/h4-6H,3H2,1-2H3 ",C5H11O3,51
IPEAOH, CCC(C)CO ," InChI=1S/C5H12O/c1-3-5(2)4-6/h5-6H,3-4H2,1-2H3 ",C5H12O,52
BUT2CHO, CC(CC)C=O ," InChI=1S/C5H10O/c1-3-5(2)4-6/h4-5H,3H2,1-2H3 ",C5H10O,53
HM2C43O2, OCC(C)C(C)O[O] ," InChI=1S/C5H11O3/c1-4(3-6)5(2)8-7/h4-6H,3H2,1-2H3 ",C5H11O3,54
M2BUOL2O2, CCC(C)(CO)O[O] ," InChI=1S/C5H11O3/c1-3-5(2,4-6)8-7/h6H,3-4H2,1-2H3 ",C5H11O3,55
ME3BUOL, OCCC(C)C ," InChI=1S/C5H12O/c1-5(2)3-4-6/h5-6H,3-4H2,1-2H3 ",C5H12O,56
C3ME3CHO, O=CCC(C)C ," InChI=1S/C5H10O/c1-5(2)3-4-6/h4-5H,3H2,1-2H3 ",C5H10O,57
HM33C3O2, OCCC(C)(C)O[O] ," InChI=1S/C5H11O3/c1-5(2,8-7)3-4-6/h6H,3-4H2,1-2H3 ",C5H11O3,58
ME3BUOLO2, OCC(O[O])C(C)C ," InChI=1S/C5H11O3/c1-4(2)5(3-6)8-7/h4-6H,3H2,1-2H3 ",C5H11O3,59
IPECOH, CCC(C)(C)O ," InChI=1S/C5H12O/c1-4-5(2,3)6/h6H,4H2,1-3H3 ",C5H12O,60
HO2M2C4O2, [O]OCCC(C)(C)O ," InChI=1S/C5H11O3/c1-5(2,6)3-4-8-7/h6H,3-4H2,1-2H3 ",C5H11O3,61
ME2BU2OLO2, [O]OC(C)C(C)(C)O ," InChI=1S/C5H11O3/c1-4(8-7)5(2,3)6/h4,6H,1-3H3 ",C5H11O3,62
PROL11MO2, CC(O)(CO[O])CC ," InChI=1S/C5H11O3/c1-3-5(2,6)4-8-7/h6H,3-4H2,1-2H3 ",C5H11O3,63
IPEBOH, CC(O)C(C)C ," InChI=1S/C5H12O/c1-4(2)5(3)6/h4-6H,1-3H3 ",C5H12O,64
H2M3C4O2, [O]OCC(C)C(C)O ," InChI=1S/C5H11O3/c1-4(3-8-7)5(2)6/h4-6H,3H2,1-2H3 ",C5H11O3,65
ME2BUOLO2, [O]OC(C)(C)C(C)O ," InChI=1S/C5H11O3/c1-4(6)5(2,3)8-7/h4,6H,1-3H3 ",C5H11O3,66
MIPK, CC(=O)C(C)C ," InChI=1S/C5H10O/c1-4(2)5(3)6/h4H,1-3H3 ",C5H10O,67
CYHEXOL, OC1CCCCC1 ," InChI=1S/C6H12O/c7-6-4-2-1-3-5-6/h6-7H,1-5H2 ",C6H12O,68
CYHEXOLAO2, [O]OC1CCCCC1O ," InChI=1S/C6H11O3/c7-5-3-1-2-4-6(5)9-8/h5-7H,1-4H2 ",C6H11O3,69
CYHEXONE, O=C1CCCCC1 , InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2 ,C6H10O,70
MIBKAOH, CC(=O)CC(C)(C)O ," InChI=1S/C6H12O2/c1-5(7)4-6(2,3)8/h8H,4H2,1-3H3 ",C6H12O2,71
MIBKAOHAO2, [O]OC(C(=O)C)C(C)(C)O ," InChI=1S/C6H11O4/c1-4(7)5(10-9)6(2,3)8/h5,8H,1-3H3 ",C6H11O4,72
MIBKAOHBO2, [O]OCC(C)(O)CC(=O)C ," InChI=1S/C6H11O4/c1-5(7)3-6(2,8)4-10-9/h8H,3-4H2,1-2H3 ",C6H11O4,73
MIBKHO4O2, [O]OCC(=O)CC(C)(C)O ," InChI=1S/C6H11O4/c1-6(2,8)3-5(7)4-10-9/h8H,3-4H2,1-2H3 ",C6H11O4,74
CH3CO3, CC(=O)O[O] , InChI=1S/C2H3O3/c1-2(3)5-4/h1H3 ,C2H3O3,75
ETHGLY, OCCO ," InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2 ",C2H6O2,76
HOCH2CHO, OCC=O ," InChI=1S/C2H4O2/c3-1-2-4/h1,4H,2H2 ",C2H4O2,77
PROPGLY, OCC(C)O ," InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3 ",C3H8O2,78
ACETOL, CC(=O)CO ," InChI=1S/C3H6O2/c1-3(5)2-4/h4H,2H2,1H3 ",C3H6O2,79
CH3CHOHCHO, CC(O)C=O ," InChI=1S/C3H6O2/c1-3(5)2-4/h2-3,5H,1H3 ",C3H6O2,80
MBO, C=CC(C)(C)O ," InChI=1S/C5H10O/c1-4-5(2,3)6/h4,6H,1H2,2-3H3 ",C5H10O,81
NMBOAO2, [O]OC(CON(=O)=O)C(C)(C)O ," InChI=1S/C5H10NO6/c1-5(2,7)4(12-10)3-11-6(8)9/h4,7H,3H2,1-2H3 ",C5H10NO6,82
NMBOBO2, [O]OCC(ON(=O)=O)C(C)(C)O ," InChI=1S/C5H10NO6/c1-5(2,7)4(3-11-10)12-6(8)9/h4,7H,3H2,1-2H3 ",C5H10NO6,83
MBOOOA, [O-][O+]=CC(C)(C)O ," InChI=1S/C4H8O3/c1-4(2,5)3-7-6/h3,5H,1-2H3 ",C4H8O3,84
IBUTALOH, O=CC(C)(C)O ," InChI=1S/C4H8O2/c1-4(2,6)3-5/h3,6H,1-2H3 ",C4H8O2,85
CH2OOB, [O-][O+]=C , InChI=1S/CH2O2/c1-3-2/h1H2 ,CH2O2,86
MBOAO2, OCC(O[O])C(C)(C)O ," InChI=1S/C5H11O4/c1-5(2,7)4(3-6)9-8/h4,6-7H,3H2,1-2H3 ",C5H11O4,87
MBOBO2, [O]OCC(O)C(C)(C)O ," InChI=1S/C5H11O4/c1-5(2,7)4(6)3-9-8/h4,6-7H,3H2,1-2H3 ",C5H11O4,88
CH3O2, CO[O] , InChI=1S/CH3O2/c1-3-2/h1H3 ,CH3O2,89
HCOCH2O2, [O]OCC=O ," InChI=1S/C2H3O3/c3-1-2-5-4/h1H,2H2 ",C2H3O3,90
C2H5CO3, CCC(=O)O[O] ," InChI=1S/C3H5O3/c1-2-3(4)6-5/h2H2,1H3 ",C3H5O3,91
C2H5O2, CCO[O] ," InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3 ",C2H5O2,92
C3H7CO3, CCCC(=O)O[O] ," InChI=1S/C4H7O3/c1-2-3-4(5)7-6/h2-3H2,1H3 ",C4H7O3,93
BUTALO2, CC(CC=O)O[O] ," InChI=1S/C4H7O3/c1-4(7-6)2-3-5/h3-4H,2H2,1H3 ",C4H7O3,94
C2H4, C=C , InChI=1S/C2H4/c1-2/h1-2H2 ,C2H4,95
NC3H7O2, CCCO[O] ," InChI=1S/C3H7O2/c1-2-3-5-4/h2-3H2,1H3 ",C3H7O2,96
IPRCO3, [O]OC(=O)C(C)C ," InChI=1S/C4H7O3/c1-3(2)4(5)7-6/h3H,1-2H3 ",C4H7O3,97
IBUTALBO2, CC(CO[O])C=O ," InChI=1S/C4H7O3/c1-4(2-5)3-7-6/h2,4H,3H2,1H3 ",C4H7O3,98
IBUTALCO2, [O]OC(C)(C)C=O ," InChI=1S/C4H7O3/c1-4(2,3-5)7-6/h3H,1-2H3 ",C4H7O3,99
IC3H7O2, [O]OC(C)C ," InChI=1S/C3H7O2/c1-3(2)5-4/h3H,1-2H3 ",C3H7O2,100
C4H9CHO, CCCCC=O ," InChI=1S/C5H10O/c1-2-3-4-5-6/h5H,2-4H2,1H3 ",C5H10O,101
C4H9CO3, CCCCC(=O)O[O] ," InChI=1S/C5H9O3/c1-2-3-4-5(6)8-7/h2-4H2,1H3 ",C5H9O3,102
C4CHOBO2, CCC(CC=O)O[O] ," InChI=1S/C5H9O3/c1-2-5(8-7)3-4-6/h4-5H,2-3H2,1H3 ",C5H9O3,103
NC4H9O2, CCCCO[O] ," InChI=1S/C4H9O2/c1-2-3-4-6-5/h2-4H2,1H3 ",C4H9O2,104
ACR, C=CC=O ," InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2 ",C3H4O,105
ACO3, [O]OC(=O)C=C ," InChI=1S/C3H3O3/c1-2-3(4)6-5/h2H,1H2 ",C3H3O3,106
ACRO2, OCC(O[O])C=O ," InChI=1S/C3H5O4/c4-1-3(2-5)7-6/h1,3,5H,2H2 ",C3H5O4,107
OCCOHCO2, OC(CO[O])C=O ," InChI=1S/C3H5O4/c4-1-3(5)2-7-6/h1,3,5H,2H2 ",C3H5O4,108
GLYOX, O=CC=O , InChI=1S/C2H2O2/c3-1-2-4/h1-2H ,C2H2O2,109
GLYOOB, [O-][O+]=CC=O , InChI=1S/C2H2O3/c3-1-2-5-4/h1-2H ,C2H2O3,110
MACR, CC(=C)C=O ," InChI=1S/C4H6O/c1-4(2)3-5/h3H,1H2,2H3 ",C4H6O,111
CH3C2H2O2, CC(=C)O[O] ," InChI=1S/C3H5O2/c1-3(2)5-4/h1H2,2H3 ",C3H5O2,112
MACO3, CC(=C)C(=O)O[O] ," InChI=1S/C4H5O3/c1-3(2)4(5)7-6/h1H2,2H3 ",C4H5O3,113
MGLYOOB, [O-][O+]=C(C)C=O ," InChI=1S/C3H4O3/c1-3(2-4)6-5/h2H,1H3 ",C3H4O3,114
MGLYOX, O=CC(=O)C ," InChI=1S/C3H4O2/c1-3(5)2-4/h2H,1H3 ",C3H4O2,115
CH2OOG, [O-][O+]=C , InChI=1S/CH2O2/c1-3-2/h1H2 ,CH2O2,116
MACRO2, OCC(C)(O[O])C=O ," InChI=1S/C4H7O4/c1-4(2-5,3-6)8-7/h2,6H,3H2,1H3 ",C4H7O4,117
MACROHO2, CC(O)(CO[O])C=O ," InChI=1S/C4H7O4/c1-4(6,2-5)3-8-7/h2,6H,3H2,1H3 ",C4H7O4,118
C4ALDB, CC=CC=O ," InChI=1S/C4H6O/c1-2-3-4-5/h2-4H,1H3 ",C4H6O,119
C3DBCO3, CC=CC(=O)O[O] ," InChI=1S/C4H5O3/c1-2-3-4(5)7-6/h2-3H,1H3 ",C4H5O3,120
C4CONO3O2, [O]OC(C)C(C=O)ON(=O)=O ," InChI=1S/C4H6NO6/c1-3(11-9)4(2-6)10-5(7)8/h2-4H,1H3 ",C4H6NO6,121
C4NO3COO2, [O]OC(C=O)C(C)ON(=O)=O ," InChI=1S/C4H6NO6/c1-3(10-5(7)8)4(2-6)11-9/h2-4H,1H3 ",C4H6NO6,122
CH3CHOOB, [O-][O+]=CC ," InChI=1S/C2H4O2/c1-2-4-3/h2H,1H3 ",C2H4O2,123
C4OCCOHCO2, [O]OC(C)C(O)C=O ," InChI=1S/C4H7O4/c1-3(8-7)4(6)2-5/h2-4,6H,1H3 ",C4H7O4,124
COCCOH2CO2, [O]OC(C=O)C(C)O ," InChI=1S/C4H7O4/c1-3(6)4(2-5)8-7/h2-4,6H,1H3 ",C4H7O4,125
CL,,,Cl,126
CH4, C , InChI=1S/CH4/h1H4 ,CH4,127
C2H6, CC , InChI=1S/C2H6/c1-2/h1-2H3 ,C2H6,128
C3H8, CCC ," InChI=1S/C3H8/c1-3-2/h3H2,1-2H3 ",C3H8,129
NC4H10, CCCC ," InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3 ",C4H10,130
SC4H9O2, CC(CC)O[O] ," InChI=1S/C4H9O2/c1-3-4(2)6-5/h4H,3H2,1-2H3 ",C4H9O2,131
IC4H10, CC(C)C ," InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3 ",C4H10,132
IC4H9O2, [O]OCC(C)C ," InChI=1S/C4H9O2/c1-4(2)3-6-5/h4H,3H2,1-2H3 ",C4H9O2,133
TC4H9O2, [O]OC(C)(C)C ," InChI=1S/C4H9O2/c1-4(2,3)6-5/h1-3H3 ",C4H9O2,134
NC5H12, CCCCC ," InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3 ",C5H12,135
PEAO2, CCCCCO[O] ," InChI=1S/C5H11O2/c1-2-3-4-5-7-6/h2-5H2,1H3 ",C5H11O2,136
PEBO2, CC(CCC)O[O] ," InChI=1S/C5H11O2/c1-3-4-5(2)7-6/h5H,3-4H2,1-2H3 ",C5H11O2,137
PECO2, CCC(CC)O[O] ," InChI=1S/C5H11O2/c1-3-5(4-2)7-6/h5H,3-4H2,1-2H3 ",C5H11O2,138
IC5H12, CCC(C)C ," InChI=1S/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3 ",C5H12,139
IPEAO2, CC(CO[O])CC ," InChI=1S/C5H11O2/c1-3-5(2)4-7-6/h5H,3-4H2,1-2H3 ",C5H11O2,140
IPEBO2, [O]OC(C)C(C)C ," InChI=1S/C5H11O2/c1-4(2)5(3)7-6/h4-5H,1-3H3 ",C5H11O2,141
IPECO2, CCC(C)(C)O[O] ," InChI=1S/C5H11O2/c1-4-5(2,3)7-6/h4H2,1-3H3 ",C5H11O2,142
NEOP, CC(C)(C)C ," InChI=1S/C5H12/c1-5(2,3)4/h1-4H3 ",C5H12,143
NEOPO2, [O]OCC(C)(C)C ," InChI=1S/C5H11O2/c1-5(2,3)4-7-6/h4H2,1-3H3 ",C5H11O2,144
NC6H14, CCCCCC ," InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3 ",C6H14,145
HEXAO2, CCCCCCO[O] ," InChI=1S/C6H13O2/c1-2-3-4-5-6-8-7/h2-6H2,1H3 ",C6H13O2,146
HEXBO2, CC(CCCC)O[O] ," InChI=1S/C6H13O2/c1-3-4-5-6(2)8-7/h6H,3-5H2,1-2H3 ",C6H13O2,147
HEXCO2, CCCC(CC)O[O] ," InChI=1S/C6H13O2/c1-3-5-6(4-2)8-7/h6H,3-5H2,1-2H3 ",C6H13O2,148
M2PE, CCCC(C)C ," InChI=1S/C6H14/c1-4-5-6(2)3/h6H,4-5H2,1-3H3 ",C6H14,149
M2PEAO2, CCCC(C)CO[O] ," InChI=1S/C6H13O2/c1-3-4-6(2)5-8-7/h6H,3-5H2,1-2H3 ",C6H13O2,150
M2PEBO2, [O]OC(C)CC(C)C ," InChI=1S/C6H13O2/c1-5(2)4-6(3)8-7/h5-6H,4H2,1-3H3 ",C6H13O2,151
M2PECO2, CCC(O[O])C(C)C ," InChI=1S/C6H13O2/c1-4-6(8-7)5(2)3/h5-6H,4H2,1-3H3 ",C6H13O2,152
M2PEDO2, CCCC(C)(C)O[O] ," InChI=1S/C6H13O2/c1-4-5-6(2,3)8-7/h4-5H2,1-3H3 ",C6H13O2,153
M3PE, CCC(C)CC ," InChI=1S/C6H14/c1-4-6(3)5-2/h6H,4-5H2,1-3H3 ",C6H14,154
M3PEAO2, CC(CCO[O])CC ," InChI=1S/C6H13O2/c1-3-6(2)4-5-8-7/h6H,3-5H2,1-2H3 ",C6H13O2,155
M3PEBO2, CCC(C)C(C)O[O] ," InChI=1S/C6H13O2/c1-4-5(2)6(3)8-7/h5-6H,4H2,1-3H3 ",C6H13O2,156
M3PECO2, CCC(C)(CC)O[O] ," InChI=1S/C6H13O2/c1-4-6(3,5-2)8-7/h4-5H2,1-3H3 ",C6H13O2,157
M22C4, CCC(C)(C)C ," InChI=1S/C6H14/c1-5-6(2,3)4/h5H2,1-4H3 ",C6H14,158
M22C43O2, [O]OC(C)C(C)(C)C ," InChI=1S/C6H13O2/c1-5(8-7)6(2,3)4/h5H,1-4H3 ",C6H13O2,159
M22C4O2, [O]OCCC(C)(C)C ," InChI=1S/C6H13O2/c1-6(2,3)4-5-8-7/h4-5H2,1-3H3 ",C6H13O2,160
M33C4O2, [O]OCC(C)(C)CC ," InChI=1S/C6H13O2/c1-4-6(2,3)5-8-7/h4-5H2,1-3H3 ",C6H13O2,161
M23C4, CC(C)C(C)C ," InChI=1S/C6H14/c1-5(2)6(3)4/h5-6H,1-4H3 ",C6H14,162
M23C43O2, [O]OC(C)(C)C(C)C ," InChI=1S/C6H13O2/c1-5(2)6(3,4)8-7/h5H,1-4H3 ",C6H13O2,163
M23C4O2, [O]OCC(C)C(C)C ," InChI=1S/C6H13O2/c1-5(2)6(3)4-8-7/h5-6H,4H2,1-3H3 ",C6H13O2,164
NC7H16, CCCCCCC ," InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3 ",C7H16,165
HEPTO2, CCCCC(CC)O[O] ," InChI=1S/C7H15O2/c1-3-5-6-7(4-2)9-8/h7H,3-6H2,1-2H3 ",C7H15O2,166
M2HEX, CCCCC(C)C ," InChI=1S/C7H16/c1-4-5-6-7(2)3/h7H,4-6H2,1-3H3 ",C7H16,167
M2HEXAO2, [O]OC(C)CCC(C)C ," InChI=1S/C7H15O2/c1-6(2)4-5-7(3)9-8/h6-7H,4-5H2,1-3H3 ",C7H15O2,168
M2HEXBO2, CCCCC(C)(C)O[O] ," InChI=1S/C7H15O2/c1-4-5-6-7(2,3)9-8/h4-6H2,1-3H3 ",C7H15O2,169
M3HEX, CCCC(C)CC ," InChI=1S/C7H16/c1-4-6-7(3)5-2/h7H,4-6H2,1-3H3 ",C7H16,170
M3HEXAO2, CCC(C)CC(C)O[O] ," InChI=1S/C7H15O2/c1-4-6(2)5-7(3)9-8/h6-7H,4-5H2,1-3H3 ",C7H15O2,171
M3HEXBO2, CCCC(C)(CC)O[O] ," InChI=1S/C7H15O2/c1-4-6-7(3,5-2)9-8/h4-6H2,1-3H3 ",C7H15O2,172
NC8H18, CCCCCCCC ," InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3 ",C8H18,173
OCTO2, CCCCCC(CC)O[O] ," InChI=1S/C8H17O2/c1-3-5-6-7-8(4-2)10-9/h8H,3-7H2,1-2H3 ",C8H17O2,174
NC9H20, CCCCCCCCC ," InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3 ",C9H20,175
NONO2, CCCCCCC(CC)O[O] ," InChI=1S/C9H19O2/c1-3-5-6-7-8-9(4-2)11-10/h9H,3-8H2,1-2H3 ",C9H19O2,176
NC10H22, CCCCCCCCCC ," InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3 ",C10H22,177
DECO2, CCCCCCCC(CC)O[O] ," InChI=1S/C10H21O2/c1-3-5-6-7-8-9-10(4-2)12-11/h10H,3-9H2,1-2H3 ",C10H21O2,178
NC11H24, CCCCCCCCCCC ," InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3 ",C11H24,179
UDECO2, CCCCCCCCC(CC)O[O] ," InChI=1S/C11H23O2/c1-3-5-6-7-8-9-10-11(4-2)13-12/h11H,3-10H2,1-2H3 ",C11H23O2,180
NC12H26, CCCCCCCCCCCC ," InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3 ",C12H26,181
DDECO2, CCCCCCCCCC(CC)O[O] ," InChI=1S/C12H25O2/c1-3-5-6-7-8-9-10-11-12(4-2)14-13/h12H,3-11H2,1-2H3 ",C12H25O2,182
CHEX, C1CCCCC1 , InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2 ,C6H12,183
CHEXO2, [O]OC1CCCCC1 ," InChI=1S/C6H11O2/c7-8-6-4-2-1-3-5-6/h6H,1-5H2 ",C6H11O2,184
ETHENO3O2, [O]OCCON(=O)=O , InChI=1S/C2H4NO5/c4-3(5)7-1-2-8-6/h1-2H2 ,C2H4NO5,185
CH2OOA, [O-][O+]=C , InChI=1S/CH2O2/c1-3-2/h1H2 ,CH2O2,186
C3H6, CC=C ," InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3 ",C3H6,187
PRONO3AO2, [O]OCC(C)ON(=O)=O ," InChI=1S/C3H6NO5/c1-3(2-8-7)9-4(5)6/h3H,2H2,1H3 ",C3H6NO5,188
PRONO3BO2, [O]OC(C)CON(=O)=O ," InChI=1S/C3H6NO5/c1-3(9-7)2-8-4(5)6/h3H,2H2,1H3 ",C3H6NO5,189
CH3CHOOA, [O-][O+]=CC ," InChI=1S/C2H4O2/c1-2-4-3/h2H,1H3 ",C2H4O2,190
BUT1ENE, CCC=C ," InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3 ",C4H8,191
BU1ENO3O2, CCC(O[O])CON(=O)=O ," InChI=1S/C4H8NO5/c1-2-4(10-8)3-9-5(6)7/h4H,2-3H2,1H3 ",C4H8NO5,192
C43NO34O2, [O]OCC(CC)ON(=O)=O ," InChI=1S/C4H8NO5/c1-2-4(3-9-8)10-5(6)7/h4H,2-3H2,1H3 ",C4H8NO5,193
C2H5CHOOA, [O-][O+]=CCC ," InChI=1S/C3H6O2/c1-2-3-5-4/h3H,2H2,1H3 ",C3H6O2,194
HO3C4O2, CCC(O)CO[O] ," InChI=1S/C4H9O3/c1-2-4(5)3-7-6/h4-5H,2-3H2,1H3 ",C4H9O3,195
CBUT2ENE, CC=CC ," InChI=1S/C4H8/c1-3-4-2/h3-4H,1-2H3 ",C4H8,196
C42NO33O2, [O]OC(C)C(C)ON(=O)=O ," InChI=1S/C4H8NO5/c1-3(4(2)10-8)9-5(6)7/h3-4H,1-2H3 ",C4H8NO5,197
TBUT2ENE, CC=CC ," InChI=1S/C4H8/c1-3-4-2/h3-4H,1-2H3 ",C4H8,198
MEPROPENE, CC(=C)C ," InChI=1S/C4H8/c1-4(2)3/h1H2,2-3H3 ",C4H8,199
MPRANO3O2, [O]OC(C)(C)CON(=O)=O ," InChI=1S/C4H8NO5/c1-4(2,10-8)3-9-5(6)7/h3H2,1-2H3 ",C4H8NO5,200
MPRBNO3O2, [O]OCC(C)(C)ON(=O)=O ," InChI=1S/C4H8NO5/c1-4(2,3-9-8)10-5(6)7/h3H2,1-2H3 ",C4H8NO5,201
CH2OOC, [O-][O+]=C , InChI=1S/CH2O2/c1-3-2/h1H2 ,CH2O2,202
CH3CCH3OOA, [O-][O+]=C(C)C , InChI=1S/C3H6O2/c1-3(2)5-4/h1-2H3 ,C3H6O2,203
PENT1ENE, CCCC=C ," InChI=1S/C5H10/c1-3-5-4-2/h3H,1,4-5H2,2H3 ",C5H10,204
C51NO32O2, CCCC(O[O])CON(=O)=O ," InChI=1S/C5H10NO5/c1-2-3-5(11-9)4-10-6(7)8/h5H,2-4H2,1H3 ",C5H10NO5,205
C52NO31O2, CCCC(CO[O])ON(=O)=O ," InChI=1S/C5H10NO5/c1-2-3-5(4-10-9)11-6(7)8/h5H,2-4H2,1H3 ",C5H10NO5,206
